value,type,created_at,updated_at,status,score,expires_at,tags,sources
08afbd47ce5f4e296d375b3a2d069993e09c090f,SHA-1,2022-02-24T16:19:01.338Z,2022-02-24T16:19:05.447Z,Active,7,,,"CrowdStrike Indicators"
3301341e7e769c92aefb07e4bec15ad2,MD5,2022-02-24T16:19:01.535Z,2022-02-24T16:19:05.447Z,Active,7,,,"CrowdStrike Indicators"
e5273b72c853f12b77a11e9c08ae6432fabbb32238ac487af2fb959a6cc26089,SHA-256,2022-02-24T16:19:02.038Z,2022-02-24T16:19:05.447Z,Active,7,,,"CrowdStrike Indicators"
b123d7e7c18f0d3e87f3ffb49b6113c119fd3c4b0c1ba83ef93c06e3dfce17f6,SHA-256,2022-02-24T19:52:43.023Z,2022-02-24T19:52:46.069Z,Active,7,,,"CrowdStrike Indicators"
8febaaf3ce4030f045894aa3ee40c6d18c6026e1,SHA-1,2022-02-24T19:52:43.031Z,2022-02-24T19:52:46.069Z,Active,7,,,"CrowdStrike Indicators"
35bdc5a2acf35bdf9fb9169e1a47d3e7,MD5,2022-02-24T19:52:43.041Z,2022-02-24T19:52:46.069Z,Active,7,,,"CrowdStrike Indicators"
8a446e36895443daf744d9866724d5f617e6d0ba,SHA-1,2022-02-24T19:53:39.937Z,2022-02-24T19:53:43.593Z,Active,7,,,"CrowdStrike Indicators"
13c4b244bd9f0e609a60e5dd9062006fc0f845146756f3ec74ea2c4a48d58485,SHA-256,2022-02-24T19:53:39.944Z,2022-02-24T19:53:43.593Z,Active,7,,,"CrowdStrike Indicators"
3358c54a22d186ec9de0f15bc4bb2698,MD5,2022-02-24T19:53:39.972Z,2022-02-24T19:53:43.593Z,Active,7,,,"CrowdStrike Indicators"
4365fb820df115343e160d8b32be23615a032d1409ce881d4445a4b9261d79ad,SHA-256,2022-02-24T19:54:50.950Z,2022-02-24T19:54:59.025Z,Active,7,,,"CrowdStrike Indicators"
0cd07490fc02e2a602781bb939d0bc3d,MD5,2022-02-24T19:54:50.958Z,2022-02-24T19:54:59.025Z,Active,7,,,"CrowdStrike Indicators"
9da5a649be8a4d44000677b0b1a8cc0d86de8aba,SHA-1,2022-02-24T19:54:50.966Z,2022-02-24T19:54:59.025Z,Active,7,,,"CrowdStrike Indicators"
eb27a9f2ee9e0e8073402ee6aaeb6468b5c661b42951ebb1a77246e2261e1b66,SHA-256,2022-02-25T06:10:05.763Z,2022-02-25T06:10:16.411Z,Active,7,,,"CrowdStrike Indicators"
852391927d4f616e47f7a12bc738900b,MD5,2022-02-25T06:10:05.785Z,2022-02-25T06:10:16.411Z,Active,7,,,"CrowdStrike Indicators"
afc5474add7274397a1db64030ca181ecd5aaca7,SHA-1,2022-02-25T06:10:05.799Z,2022-02-25T06:10:16.411Z,Active,7,,,"CrowdStrike Indicators"
94c761554c0f0d91dc6a15fdd47b9e54d3a7601a,SHA-1,2022-02-25T15:13:09.073Z,2022-02-25T15:13:13.954Z,Active,7,,,"CrowdStrike Indicators"
10609b88d2c1637797cd369726aab93d,MD5,2022-02-25T15:13:09.242Z,2022-02-25T15:13:13.954Z,Active,7,,,"CrowdStrike Indicators"
e530e16d5756cdc2862b4c9411ac3bb3b113bc87344139b4bfa2c35cd816e518,SHA-256,2022-02-25T15:13:09.250Z,2022-02-25T15:13:13.954Z,Active,7,,,"CrowdStrike Indicators"
ab96697b8288db32f85cb0ff1033f325ea30d00a,SHA-1,2022-02-25T22:41:02.254Z,2022-02-25T22:41:12.707Z,Active,7,,,"CrowdStrike Indicators"
0832ec4e7a6e59fe03fe7d7614eadd67ceea3f330b309cadb4aacaf05d46ba61,SHA-256,2022-02-25T22:41:02.274Z,2022-02-25T22:41:12.707Z,Active,7,,,"CrowdStrike Indicators"
afe4ec9a88f84fbf9c1eb0f3ff47a12b,MD5,2022-02-25T22:41:02.377Z,2022-02-25T22:41:12.707Z,Active,7,,,"CrowdStrike Indicators"
mircrosotf.com,FQDN,2022-02-26T17:15:29.694Z,2022-02-26T17:15:36.627Z,Active,7,,,"CrowdStrike Indicators"
7baa339e4d0f37c0629e8463d35f3e2f21a28f99,SHA-1,2022-02-26T17:23:26.490Z,2022-02-26T17:23:31.464Z,Active,7,,,"CrowdStrike Indicators"
6d3f2c1a77ef4f7e48b67c5ffbb24b1f,MD5,2022-02-26T17:23:26.579Z,2022-02-26T17:23:31.464Z,Active,7,,,"CrowdStrike Indicators"
